utterance_id,conversation_id,text,speaker_id,character_name,gender,movie_id,movie_name,release_year,rating,votes,genre,entities,sentiment
L865,L862,Thank God!  If I had to hear one more story about your coiffure...,u2,CAMERON,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('one', 'CARDINAL')]",0.5983
L860,L860,"Then Guillermo says, ""If you go any lighter, you're gonna look like an extra on 90210.""",u0,BIANCA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Guillermo', 'PERSON'), ('90210', 'DATE')]",0.3612
L662,L662,Have fun tonight?,u2,CAMERON,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('tonight', 'TIME')]",0.5106
L576,L575,"Looks like things worked out tonight, huh?",u2,CAMERON,m,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('tonight', 'TIME')]",0.3612
L405,L404,"Lesbian?  No. I found a picture of Jared Leto in one of her drawers, so I'm pretty sure she's not harboring same-sex tendencies.",u0,BIANCA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Lesbian', 'NORP'), ('Jared Leto', 'PERSON'), ('one', 'CARDINAL')]",0.5916
L368,L367,"Eber's Deep Conditioner every two days. And I never, ever use a blowdryer without the diffuser attachment.",u0,BIANCA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Eber', 'PERSON'), ('Deep Conditioner', 'PERSON'), ('every two days', 'DATE')]",-0.2235
L275,L271,Forget French.,u0,BIANCA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('French', 'NORP')]",-0.2263
L202,L200,"The thing is, Cameron -- I'm at the mercy of a particularly hideous breed of loser.  My sister.  I can't date until she does.",u0,BIANCA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Cameron', 'PERSON')]",-0.2263
L194,L194,Can we make this quick?  Roxanne Korrine and Andrew Barrett are having an incredibly horrendous public break- up on the quad.  Again.,u0,BIANCA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Roxanne Korrine', 'PERSON'), ('Andrew Barrett', 'PERSON')]",-0.624
L600,L598,All I know is -- I'd give up my private line to go out with a guy like Joey.,u3,CHASTITY,?,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Joey', 'PERSON')]",0.3612
L595,L595,"He practically proposed when he found out we had the same dermatologist. I mean. Dr. Bonchowski is great an all, but he's not exactly relevant party conversation.",u0,BIANCA,f,m0,10 things i hate about you,1999,6.9,62847,"[, ', c, o, m, e, d, y, ', ,,  , ', r, o, m, a, n, c, e, ', ]","[('Bonchowski', 'PERSON')]",-0.0867
