conversation_id,speakers
L101502,['u595']
L101507,['u585']
L101512,['u595']
L101517,"['u585', 'u595']"
L101530,['u591']
L101537,['u591']
L101546,['u585']
L101552,"['u592', 'u591']"
L101554,['u591']
L101556,['u591']
L101563,['u583']
L101570,['u591']
L101575,['u591']
L101577,"['u585', 'u592']"
L101589,"['u596', 'u590']"
L101605,['u596']
L101645,['u585']
L101652,['u596']
L101680,['u585']
L101687,"['u592', 'u585']"
L101711,"['u585', 'u592']"
L101715,['u584']
L101735,['u594']
L101738,"['u594', 'u597', 'u594', 'u597']"
L101745,"['u598', 'u594']"
L101749,"['u594', 'u594', 'u598']"
L101757,['u594']
L101760,['u592']
L101780,['u596']
L101788,"['u596', 'u589']"
L101803,['u587']
L101806,"['u596', 'u596']"
L101809,"['u596', 'u590']"
L101811,['u596']
L101814,"['u596', 'u596']"
L101821,['u596']
L101827,['u592']
L101833,['u592']
L101836,['u592']
L101842,['u585']
L101849,"['u594', 'u594']"
L101855,['u594']
L101857,['u594']
L101859,['u594']
L101866,['u585']
L101874,"['u592', 'u594']"
L101877,"['u592', 'u594']"
L101888,['u585']
L101891,"['u585', 'u585', 'u585']"
L101907,"['u594', 'u592', 'u592']"
L101916,['u594']
L101928,['u596']
L101932,['u596']
L101935,['u596']
L101938,['u596']
L101944,['u589']
L101948,"['u596', 'u590']"
L101957,"['u596', 'u596', 'u596']"
L101962,['u594']
L101968,['u594']
L101977,['u594']
L102017,['u594']
L102022,['u592']
L102030,['u592']
L102052,['u594']
L102055,['u585']
L102061,"['u582', 'u598']"
L102064,['u582']
L102069,['u582']
L102082,['u594']
L102085,['u585']
L102128,['u585']
L102130,['u585']
L102146,['u594']
L102148,['u594']
L102171,['u596']
L102176,['u593']
L102202,['u594']
L102206,"['u585', 'u585']"
L103,"['u8', 'u8']"
L103078,['u599']
L103118,['u601']
L103120,"['u601', 'u603']"
L103126,"['u603', 'u603']"
L103139,['u603']
L103159,['u601']
L103169,['u603']
L103178,"['u601', 'u601']"
L103206,"['u603', 'u603', 'u601']"
L103228,['u603']
L103236,['u601']
L103240,['u603']
L103262,['u603']
L103266,"['u603', 'u603', 'u603']"
L103292,['u603']
L103310,"['u603', 'u603', 'u603']"
L103326,['u599']
L103338,"['u603', 'u603']"
L103344,['u603']
L103347,['u603']
L103383,"['u601', 'u599', 'u601']"
L103405,['u603']
L103407,['u599']
L103411,"['u603', 'u599']"
L103428,['u601']
L103430,"['u603', 'u603']"
L103452,['u603']
L103462,['u603']
L103474,['u603']
L103476,['u599']
L103491,['u599']
L103495,['u599']
L103509,['u603']
L103513,"['u601', 'u601']"
L103525,['u603']
L103536,"['u601', 'u603']"
L103543,['u603']
L103556,['u603']
L103568,['u599']
L103586,['u603']
L103593,['u599']
